Penguin ID,Title,Authors,URL,ISBN,Image
319668,The Need for Roots,Simone Weil,https://www.penguin.co.uk/books/319668/the-need-for-roots-by-weil-simone/9780241467978,9780241467978,https://cdn.penguin.co.uk/dam-assets/books/9780241467978/9780241467978-jacket-large.jpg
448523,Thoughts From the Ice-Drinker's Studio,Liang Qichao,https://www.penguin.co.uk/books/448523/thoughts-from-the-ice-drinkers-studio-by-qichao-liang/9780241568781,9780241568781,https://cdn.penguin.co.uk/dam-assets/books/9780241568781/9780241568781-jacket-large.jpg
456518,The Apprentice Tourist,Mário de Andrade,https://www.penguin.co.uk/books/456518/the-apprentice-tourist-by-andrade-mario-de/9780143137351,9780143137351,https://cdn.penguin.co.uk/dam-assets/books/9780143137351/9780143137351-jacket-large.jpg
309906,The Dawn of Modern Cosmology,"Nicolaus Copernicus, Galileo Galilei",https://www.penguin.co.uk/books/309906/the-dawn-of-modern-cosmology-by-newton-copernicus-galileo-kepler-descartes-and/9780241360637,9780241360637,https://cdn.penguin.co.uk/dam-assets/books/9780241360637/9780241360637-jacket-large.jpg
35462,The Rise And Fall of Athens,Plutarch,https://www.penguin.co.uk/books/35462/the-rise-and-fall-of-athens-by-plutarchtrans-ian-scott-kilvert-and-john-marincola/9780140449051,9780140449051,https://cdn.penguin.co.uk/dam-assets/books/9780140449051/9780140449051-jacket-large.jpg
453704,"Minor Notes, Volume 1","George Moses Horton, Fenton Johnson",https://www.penguin.co.uk/books/453704/minor-notes-volume-1-by-johnson-george-moses-horton-fenton-johnson-and-georgia-douglas/9780143137269,9780143137269,https://cdn.penguin.co.uk/dam-assets/books/9780143137269/9780143137269-jacket-large.jpg
456514,Black Empire,George S. Schuyler,https://www.penguin.co.uk/books/456514/black-empire-by-schuyler-george-s/9780143137078,9780143137078,https://cdn.penguin.co.uk/dam-assets/books/9780143137078/9780143137078-jacket-large.jpg
456515,The Mis-Education of the Negro,Carter G. Woodson,https://www.penguin.co.uk/books/456515/the-mis-education-of-the-negro-by-woodson-carter-g/9780143137467,9780143137467,https://cdn.penguin.co.uk/dam-assets/books/9780143137467/9780143137467-jacket-large.jpg
456516,To the Lighthouse,"Virginia Woolf, Alison Bechdel",https://www.penguin.co.uk/books/456516/to-the-lighthouse-by-woolf-virginia/9780143137580,9780143137580,https://cdn.penguin.co.uk/dam-assets/books/9780143137580/9780143137580-jacket-large.jpg
283044,The Secret History of the Mongols,,https://www.penguin.co.uk/books/283044/the-secret-history-of-the-mongols-by-none/9780241197912,9780241197912,https://cdn.penguin.co.uk/dam-assets/books/9780241197912/9780241197912-jacket-large.jpg
